"id","zone_erm_id","shop_class_id","city_id","manager_id","cm","name","address","phone"
"208","40","1","1627","128","3394","Manosque VI","ZI Saint Maurice Quartier Le Fito","04-92-71-70-50"
"209","40","1","13289","129","3239","Montpellier VI","4800 RUE DE LA JEUNE PARQUE","04-99-52-81-00"
"210","40","4","1993","130","3253","Base av. Nice Est","10 ET 12 ROUTE DE LAGHET","0000000000"
"211","40","1","1995","130","3255","Nice Rte de Grenoble VI","492, ROUTE DE GRENOBLE","04-92-29-52-60"
"212","40","2","11350","131","3256","Nîmes","1 COURS DE DION BOUTON CENTRE ROUTIER KILOMETRE DELTA","04-66-01-72-96"
"213","41","3","1907","237","3017","Antibes","754, ROUTE DE GRASSE","04-92-91-84-50"
"214","41","3","1932","132","3056","Cannes","240, AVENUE FRANCIS TONER","04-93-48-72-00"
"215","41","3","33048","133","3103","Draguignan","QUARTIER ST LEGER R.N. 555","04-94-50-45-70"
"216","41","3","1627","134","3210","Manosque VL","ROUTE DE LA DURANCE QUARTIER DU PRECHE","04-92-87-72-00"
"217","41","3","4433","238","3214","Marseille Arnavaux VL","15, BOULEVARD GAY LUSSAC Z.I. LES ARNAVAUX","04-91-10-19-60"
"218","41","3","4428","136","3215","Marseille Sainte Marguerite VL","61 BD SAINTE MARGUERITE","04-91-79-79-86"
"219","41","3","4429","135","3216","Marseille Timone VL","37,  RUE DU CAPITAINE GALINAT","04-91-78-10-13"
"220","41","3","13288","137","3240","Montpellier VL","AVENUE DU MAS D ARGELLIERS","04-67-92-05-93"
"221","41","3","1995","138","3254","Nice Montel VL","17, BOULEVARD PAUL MONTEL","04-97-25-76-60"
"222","41","3","4483","239","3322","Saint Victoret","BOULEVARD ROBERT FERRISSE","04-42-89-07-88"
"223","41","3","4485","139","3327","Salon de Provence","BOULEVARD DU ROI RENE","04-90-53-15-75"
"224","42","2","4367","140","3019","Arles","ROUTE DES SAINTES MARIES R.D. 570","04-90-49-61-80"
"225","42","2","4437","141","3218","Martigues","PUITS DE POUANE R.N. 568","04-42-40-70-10"
"226","43","3","33130","142","3333","Six Fours VL","AVENUE DE L EUROPE ZA DES PLAYES","04-94-10-96-80"
"227","43","2","33061","12","3171","La Garde","13 IMPASSE EDOUARD BRANLY ZI TOULON EST BP 503","04-94-08-01-48"
"228","44","2","4357","143","3005","Aix les Milles","128 AVENUE DE BESSEMER ZI LES MILLES","04-42-97-58-10"
"229","44","2","4369","144","3021","Aubagne","708 RN 8 ZI LES PALUDS","04-42-18-60-90"
"230","44","1","4499","145","3369","Vitrolles","AVENUE DE BRUXELLES N 2 Z.I. DES ESTROUBLANS","04-42-77-46-21"
"231","45","2","261","146","3047","Bourg-Péronnas","738, AVENUE DE LYON","04-74-21-20-99"
"232","45","2","14373","147","3046","Bourgoin Maladiere","4 RUE ISAAC ASIMOV Z.I. DE LA MALADIERE","04-74-19-00-90"
"233","45","1","27823","148","3089","Corbas VI","52, RUE LOUIS PRADEL Z.I.","04-37-25-33-01"
"234","45","1","9341","149","3233","Montélimar VI","ZI DU MEYROL","04-75-92-05-50"
"235","45","2","16043","240","3288","Roanne","47, BLD CHARLES DE GAULLE Z.I.","04-77-70-04-44"
"236","45","2","16185","150","3307","Saint Etienne Neyret","22, RUE JEAN NEYRET","04-77-49-08-77"
"237","45","1","14762","151","3325","Salaise VI","318 RUE DES BALMES","04-74-29-42-62"
"238","45","1","9207","152","3351","Valence VI","RUE LOUIS SAILLANT ZI DE LA MOTTE","04-75-57-67-40"
"239","45","2","27814","153","3362","Villefranche sur Saône","AVENUE EDOUARD HERRIOT Z.I.","04-74-09-43-90"
"240","45","2","16562","154","3372","Yssingeaux","ZA LA GUIDE LIEU-DIT LE FROMENTAL","04-71-59-18-13"
"241","46","3","27823","241","3090","Corbas VL","52, RUE LOUIS PRADEL Z.I.","04-78-20-98-56"
"242","46","3","27630","242","3097","Dardilly","CHEMIN DES GORGES ZI LE PAISY","04-78-35-58-50"
"243","46","3","27685","243","3205","Lyon Berthelot VL","190, AVENUE BERTHELOT","04-78-72-41-76"
"244","46","3","27687","156","3208","Lyon Vaise VL","48, RUE DE BOURGOGNE","04-78-83-77-76"
"245","46","3","27831","244","3226","Meyzieu","CENTRE COMMERCIAL LECLERC","04-78-04-30-29"
"246","46","3","9341","157","3234","Montélimar VL","112,  AVENUE JEAN JAURES","04-75-92-02-60"
"247","46","3","14762","245","3326","Salaise VL","ZA CHAMPS ROLLAND 219 RUE D ALAMBERT","04-74-11-12-90"
"248","46","3","9500","158","3352","Valence VL","AVENUE DE PROVENCE PONT DES ANGLAIS","04-75-44-13-40"
"249","46","3","27810","155","3357","Venissieux VL","69, RUE ANDRE SENTUC ZAC DE L ARSENAL","04-72-90-13-90"
"250","47","3","29475","246","3243","Moutiers","CTRE COMM. ZAC DE LA CHAUDANNE AVENUE DES JEUX OLYMPIQUES","04-79-24-21-95"
"251","47","2","29331","159","3006","Albertville","RUE LOUIS ARMAND","04-79-10-02-20"
"252","47","2","29377","160","3069","Chambéry Saint Alban","672, AVENUE DE CHAMBERY","04-79-33-20-09"
"253","47","4","29473","160","3399","Base av. La Motte Servolex","1327 avenue de la Houille Blanche","04-79-33-20-09"
"254","47","1","14679","161","3303","Saint Egrève VI","54, RUE DU PONT NOIR","04-38-02-19-50"
"255","48","2","29620","162","3016","Annecy","6, RUE DE LA CEZIERE Z.I. DE VOVRAY","04-50-45-99-70"
"256","48","2","150","163","3149","Ferney Voltaire","19,  RUE DE LA POTERIE","04-50-40-58-02"
"257","48","1","29837","164","3320","Saint Pierre en Faucigny","30 RUE CHAMPS PLANS LIEU DIT LES JOURDIES","04-50-25-07-08"
"258","48","4","29865","164","3440","Base av. Thonon les bains","A DEFINIR","0000000000"
"259","49","3","14461","247","3142","Echirolles VL","71, COURS JEAN JAURES LA QUINZAINE","04-76-09-11-95"
"260","49","3","14476","248","3153","Fontaine VL","39, BOULEVARD PAUL LANGEVIN","04-76-26-32-45"
"261","49","3","14679","165","3304","Saint Egrève VL","AVENUE DE L ILE BRUNE Z.I.","04-76-75-86-69"
"262","49","3","14848","166","3371","Voiron","6, RUE DE L INDUSTRIE","04-76-05-06-39"
